time_s,force_n,displacement_m,displacement_mm,velocity_m_s,acceleration_m_s2,acceleration_g
2.246,6.593633205631572e-27,2.974452487409742e-12,2.9744524874097417e-09,1.259907383158971e-09,-2.301065163830912e-06,-2.3464334546770938e-07
2.247,5.360309447351463e-27,3.68303558678574e-12,3.6830355867857405e-09,-1.2557373482100854e-09,-2.031590303896906e-06,-2.0716455710124315e-07
2.248,4.3548215773887934e-27,2.3868409571520282e-12,2.386840957152028e-09,-2.961741630111682e-09,-6.928838678080737e-07,-7.065449137147484e-08
2.249,3.535619238496962e-27,-8.433785761479796e-13,-8.433785761479797e-10,-2.4912005685484296e-09,1.2721023906879577e-06,1.2971834323524932e-07
2.25,2.868631375415869e-27,-3.5899290704248577e-12,-3.5899290704248578e-09,-2.575125864791108e-10,2.410428508644093e-06,2.4579530304885903e-07
2.251,2.3259371322366956e-27,-3.3452736418158157e-12,-3.3452736418158158e-09,2.0613303763137035e-09,1.577911701567491e-06,1.609022144735961e-07
2.2520000000000002,1.8846700686129944e-27,-1.314570786520483e-12,-1.314570786520483e-09,3.0047991577030003e-09,-1.725140564251522e-08,-1.7591538030331686e-09
2.253,1.5261151822067217e-27,2.141811024192167e-12,2.141811024192167e-09,1.730309782192265e-09,-1.8959327666799563e-06,-1.9333133808996512e-07
2.254,1.2349651971461498e-27,3.6049406831898544e-12,3.6049406831898544e-09,-6.627703984734091e-10,-2.152965334335765e-06,-2.1954136574016256e-07
2.255,9.987083576887265e-28,2.8101740301285334e-12,2.8101740301285335e-09,-2.6798676374921993e-09,-1.0501596339511239e-06,-1.0708648049549275e-07
2.2560000000000002,8.071247564353157e-28,7.371301159643828e-14,7.371301159643828e-11,-2.7876441987799584e-09,7.615118953942695e-07,7.765260261090888e-08
2.257,6.518721962134651e-28,-3.184552086001505e-12,-3.184552086001505e-09,-8.408517491071369e-10,2.3160740474716637e-06,2.3617382566642674e-07
2.258,5.261458740863869e-28,-3.4895574198149824e-12,-3.4895574198149822e-09,1.574975369899216e-09,1.8130113083532602e-06,1.8487570254401456e-07
2.259,4.243989009411363e-28,-1.991152505477014e-12,-1.991152505477014e-09,3.0525611315369085e-09,4.0907205394346826e-07,4.171374056823362e-08
2.2600000000000002,3.4211292702558356e-28,1.258309329575546e-12,1.258309329575546e-09,2.279946946553159e-09,-1.4807181014059134e-06,-1.509912254853506e-07
